pl_name,pl_name,t0,period,rstar,rp_rstar,a_rstar,a_rp,b,half_duration,rho_star,T_s,mstar,mass
HATS-15 b,HATS-15 b,2456387.2116099996,1.74748753,0.92,0.1229,6.33877398020136,51.35649457071803,0.317,0.047285,1.57,5311.0,0.87,2.17
HATS-16 b,HATS-16 b,2456824.79069,2.686502,1.24,0.1075,6.492583797020407,60.264346726347,0.732,0.054599999999999996,0.72,5738.0,0.97,3.27
HATS-17 b,HATS-17 b,2457139.1672,16.254611,1.09,0.0726,25.803858680465716,352.2529919118309,0.432,0.10054999999999999,1.22,5846.0,1.13,1.338
HATS-18 b,HATS-18 b,2457089.90598,0.83784,1.02,0.132,3.668195596732871,27.3963201508663,0.3,0.040499999999999994,1.37,5600.0,1.04,1.9795
HATS-2 b,HATS-2 b,2455954.5857599997,1.354133,0.9,0.1335,5.49526620046955,41.205288441364075,0.271,0.0431,1.43916,5227.0,0.88,1.345
HATS-22 b,HATS-22 b,2457078.5803,4.7228124,0.69,0.1426,15.659950467311624,110.33444907160637,0.536,0.045649999999999996,3.28,4803.0,0.76,2.74
HATS-23 b,HATS-23 b,2457072.85266,2.1605156,1.2,0.159,6.087201940107087,38.21646987556018,0.949,0.037599999999999995,0.91,5780.0,1.12,1.47
HATS-24 b,HATS-24 b,2457948.7093209997,1.3484978,1.12,0.12800999999999998,4.5694333079991365,35.70020539842341,0.276,0.0504,1.059,6125.0,1.07,2.26
HATS-25 b,HATS-25 b,2456870.36872,4.2986432,1.11,0.1171,10.001901078621957,85.74317188826322,0.538,0.06675,1.03,5715.0,0.99,0.613
HATS-26 b,HATS-26 b,2456867.4232,3.3023881,2.04,0.0879,4.991064985784525,56.61739717247085,0.33,0.10865,0.218,6071.0,1.3,0.65
HATS-27 b,HATS-27 b,2457029.3374,4.637038,1.74,0.0895,7.5508417882014145,85.23499039305098,0.36,0.10064999999999999,0.379,6438.0,1.42,0.53
HATS-28 b,HATS-28 b,2457034.283,3.1810781,0.92,0.1331,9.655411250815568,72.39671049883081,0.643,0.049049999999999996,1.67,5498.0,0.93,0.672
HATS-29 b,HATS-29 b,2457031.9561799997,4.6058749,1.07,0.1201,11.002813572862133,91.57876430154485,0.502,0.06689999999999999,1.17,5670.0,1.03,0.653
